userid,placeid,datetime,lat,lon,city,category
fred-wilson,tocqueville-new-york,2010-10-22T23:44:29,40.7363,-73.9922,New York,Food:American
fred-wilson,wesleyan-university-usdan-university-center-middle,2010-10-23T17:00:24,41.556974,-72.657571,Middletown,College & Education:Student Center
fred-wilson,javapalooza-middletown,2010-10-23T20:30:45,41.5588525,-72.6486184,Middletown,Food:Coffee Shop
fred-wilson,giorgione-new-york,2010-10-24T00:22:49,40.726144,-74.008348,New York,Food:Italian
fred-wilson,chelsea-piers-sports-center-new-york,2010-08-10T10:54:51,40.7469,-74.0082,New York,Parks & Outdoors:Skating Rink
fred-wilson,maialino-new-york,2010-08-10T13:11:35,40.738546,-73.985772,New York,Food:Italian
fred-wilson,joseph-leonard-new-york,2010-08-10T21:57:02,40.7336653479,-74.0015459061,New York,Food:American
fred-wilson,hudson-river-park-new-york,2010-08-11T10:30:09,40.7316816503,-74.0107727051,New York,Parks & Outdoors:Other - Parks & Outdoor
fred-wilson,punch-new-york,2010-08-11T17:41:08,40.7397,-73.99,New York,Food:American
fred-wilson,barbuto-new-york,2010-08-11T22:34:45,40.7378,-74.0082,New York,Food:Italian
fred-wilson,the-coffee-shop-new-york,2010-08-12T12:04:15,40.7365179,-73.991199,New York,Food:Coffee Shop
fred-wilson,buzzfeed-new-york,2010-08-12T23:32:00,40.723769,-73.999816,New York,Home / Work / Other:Corporate / Office:Tech Startup
fred-wilson,kamadeva-yoga,2010-08-13T13:22:42,40.964479,-72.187612,NULL,Home / Work / Other:Gym / Fitness:Yoga Studio
fred-wilson,marys-marvelous-amagansett,2010-08-13T13:29:51,40.9753,-72.1413,Amagansett,Food:Bakery
fred-wilson,jacks-coffee-amagansett,2010-08-13T13:50:57,40.974401,-72.141917,Amagansett,Food:Café
fred-wilson,la-fondita-amagansett,2010-08-13T22:22:32,40.9769768,-72.1260539,Amagansett,Food:Tacos
fred-wilson,jacks-coffee-amagansett,2010-08-14T11:37:53,40.974401,-72.141917,Amagansett,Food:Café
fred-wilson,cirillos-supermarket-amagansett,2010-08-14T15:01:41,40.977089,-72.128038,Amagansett,Food:Other - Food
fred-wilson,hampton-market-place-east-hampton,2010-08-14T15:22:19,40.963737,-72.195271,East Hampton,Food:Deli / Bodega
fred-wilson,amagansett-hardware,2010-08-14T17:47:58,40.974322,-72.142344,NULL,Shops:Hardware
fred-wilson,amagansett-wine-and-spirits-amagansett,2010-08-14T17:59:24,40.9754,-72.1416,Amagansett,Shops:Food & Drink:Wine Shop
fred-wilson,prada-new-york,2010-09-06T19:19:46,40.724283,-73.997812,New York,Shops:Apparel
fred-wilson,john-varvatos-new-york,2010-09-06T20:09:27,40.723628,-74.000226,New York,Shops:Apparel
fred-wilson,joseph-leonard-new-york,2010-09-06T22:55:50,40.7336653479,-74.0015459061,New York,Food:American
fred-wilson,chelsea-piers-sports-center-new-york,2010-09-07T10:55:28,40.7469,-74.0082,New York,Parks & Outdoors:Skating Rink
fred-wilson,maialino-new-york,2010-09-07T13:03:36,40.738546,-73.985772,New York,Food:Italian
fred-wilson,15-east-new-york,2010-09-17T17:21:02,40.7363,-73.9922,New York,Food:Japanese
fred-wilson,culture-espresso-bar-new-york,2010-09-17T19:00:18,40.7521,-73.9855,New York,Food:Coffee Shop
fred-wilson,ma-peche-new-york,2010-09-17T23:16:37,40.7627651,-73.9755462,New York,Food:Asian
fred-wilson,murrays-bagels-new-york,2010-09-18T12:08:36,40.7363,-73.9971,New York,Food:Sandwiches
fred-wilson,city-cinemas-village-east-new-york,2010-09-18T23:07:43,40.730916,-73.9861102,New York,Arts & Entertainment:Movie Theater:Cineplex
fred-wilson,zampa-new-york,2010-09-19T02:01:20,40.739131,-74.003625,New York,Nightlife:Wine Bar
fred-wilson,jacks-coffee-new-york,2010-09-19T12:14:05,40.7345781,-74.0006365,New York,Food:Coffee Shop
fred-wilson,murrays-bagels-new-york,2010-09-19T12:30:53,40.7363,-73.9971,New York,Food:Sandwiches
fred-wilson,the-shala-new-york,2010-09-19T16:07:10,40.733075,-73.991478,New York,Home / Work / Other:Gym / Fitness:Yoga Studio
fred-wilson,pie-new-york,2010-09-19T16:14:15,40.7329517,-73.9900104,New York,Food:Pizza
fred-wilson,best-buy-new-york,2010-09-19T16:33:14,40.734421,-73.99012,New York,Shops:Video Games
fred-wilson,john-varvatos-new-york,2010-09-19T16:42:56,40.723628,-74.000226,New York,Shops:Apparel
ben-parr,bandera-brentwood-los-angeles,2010-08-22T04:34:54,34.0494,-118.461,Los Angeles,Food:American
ben-parr,the-w-hotel-los-angeles-westwood-los-angeles,2010-08-22T06:19:56,34.063201,-118.441029,Los Angeles,Travel:Hotel
ben-parr,coral-tree-cafe-los-angeles,2010-08-22T17:31:46,34.054301,-118.463776,Los Angeles,Food:Coffee Shop
ben-parr,the-getty-center-los-angeles,2010-08-22T21:02:35,34.0784871822,-118.474674225,Los Angeles,Arts & Entertainment:Museum
ben-parr,starbucks-buttonwillow,2010-08-23T22:43:24,35.4003234949,-119.397386312,Buttonwillow,Food:Coffee Shop
ben-parr,chipotle-mountain-view,2010-08-24T03:50:58,37.421793161,-122.096589804,Mountain View,Food:Mexican
ben-parr,indinero,2010-08-24T05:39:53,37.398365,-122.08278,NULL,Home / Work / Other:Corporate / Office:Coworking Space
ben-parr,y-combinator-mountain-view,2010-08-24T21:22:09,37.3867650397,-122.067975998,Mountain View,Home / Work / Other:Corporate / Office:Tech Startup
ben-parr,google-sf-office-san-francisco,2010-08-25T18:23:59,37.789709298,-122.390398979,San Francisco,Home / Work / Other:Corporate / Office
ben-parr,mashable-sf-san-francisco,2010-08-25T18:46:48,37.7798819,-122.3914073,San Francisco,Home / Work / Other:Corporate / Office
ben-parr,exploratorium-san-francisco,2010-08-26T06:59:57,37.8039633,-122.4485311,San Francisco,Arts & Entertainment:Museum
ben-parr,crunch-fitness-san-francisco,2010-08-26T15:22:44,37.798321,-122.421838,San Francisco,Home / Work / Other:Gym / Fitness:Yoga Studio
ben-parr,the-bagel-bakery-san-francisco,2010-08-27T16:32:56,37.7799285,-122.3913474,San Francisco,Food:Bagels
ben-parr,mashable-sf-san-francisco,2010-08-27T16:33:38,37.7798819,-122.3914073,San Francisco,Home / Work / Other:Corporate / Office
ben-parr,google-sf-office-san-francisco,2010-08-27T21:08:23,37.789709298,-122.390398979,San Francisco,Home / Work / Other:Corporate / Office
ben-parr,luna-park-san-francisco,2010-08-28T03:16:00,37.76189,-122.421913,San Francisco,Food:American
ben-parr,nat-and-bens-pad-san-francisco,2010-08-28T07:27:14,37.794354,-122.419753,San Francisco,Home / Work / Other:Home
ben-parr,in-n-out-burger-mountain-view,2010-08-28T21:45:42,37.420845,-122.093133,Mountain View,Food:Burgers
ben-parr,san-francisco-international-airport-sfo-san-franci,2010-08-29T17:14:31,37.6163730619,-122.38615036,San Francisco,Travel:Airport
ben-parr,roam-artisan-burgers-san-francisco,2010-08-30T02:15:41,37.797736,-122.428448,San Francisco,Food:Burgers
ben-parr,mashable-sf-san-francisco,2010-08-30T20:46:56,37.7798819,-122.3914073,San Francisco,Home / Work / Other:Corporate / Office
ben-parr,apple-store-san-francisco,2010-08-31T18:29:10,37.800487,-122.438191,San Francisco,Shops:Technology
ben-parr,san-francisco-dmv-office-san-francisco,2010-08-31T20:16:18,37.7735697,-122.440411,San Francisco,Home / Work / Other:Government
ben-parr,inner-circle-labs-san-francisco,2010-09-02T02:14:02,37.7948359,-122.403527,San Francisco,Home / Work / Other:Corporate / Office
ben-parr,spruce-san-francisco,2010-09-02T03:28:14,37.7876023297,-122.452744246,San Francisco,Food:American
ben-parr,south-beach-cafe-san-francisco,2010-09-02T19:41:34,37.7824,-122.388,San Francisco,Food:Pizza
ben-parr,mashable-sf-san-francisco,2010-09-02T23:27:07,37.7798819,-122.3914073,San Francisco,Home / Work / Other:Corporate / Office
ben-parr,fairmont-san-francisco-san-francisco,2010-09-02T23:27:27,37.792342,-122.410784,San Francisco,Travel:Hotel
ben-parr,the-regency-ballroom-san-francisco,2010-09-03T00:11:18,37.7875831,-122.4216649,San Francisco,Arts & Entertainment:Music Venue:Concert Hall
ben-parr,candlestick-park-san-francisco,2010-09-03T01:00:58,37.7136678306,-122.386364937,San Francisco,Arts & Entertainment:Stadium:Football
ben-parr,nat-and-bens-pad-san-francisco,2010-09-03T06:36:41,37.794354,-122.419753,San Francisco,Home / Work / Other:Home
ben-parr,mgm-grand-hotel-casino-las-vegas,2010-09-04T01:33:15,36.1022204151,-115.168669224,Las Vegas,Arts & Entertainment:Casino
ben-parr,tom-colicchios-craftsteak-mgm-grand-las-vegas,2010-09-04T05:57:41,36.1025151451,-115.171501637,Las Vegas,Food:Steakhouse
ben-parr,the-beatles-love-cirque-du-soleil-las-vegas,2010-09-05T06:19:50,36.121098,-115.172371,Las Vegas,Nightlife:Nightclub / Discotheque
ben-parr,ben-and-nathaniels-lair-san-francisco,2010-09-07T02:46:41,37.792181,-122.419319,San Francisco,Nightlife:Lounge
ben-parr,mashable-sf-san-francisco,2010-09-07T18:29:49,37.7798819,-122.3914073,San Francisco,Home / Work / Other:Corporate / Office
ben-parr,royal-ground-san-francisco,2010-09-08T02:49:56,37.7974,-122.422,San Francisco,Food:Café
ben-parr,san-francisco-museum-of-modern-art-san-francisco,2010-09-08T18:19:37,37.7857963091,-122.400897145,San Francisco,Arts & Entertainment:Museum
ben-parr,mashable-sf-san-francisco,2010-09-08T23:00:08,37.7798819,-122.3914073,San Francisco,Home / Work / Other:Corporate / Office
ben-parr,tres-agaves-san-francisco,2010-09-09T01:42:58,37.780423,-122.391646,San Francisco,Food:Mexican
ben-parr,mashable-sf-san-francisco,2010-09-09T20:51:48,37.7798819,-122.3914073,San Francisco,Home / Work / Other:Corporate / Office
ben-parr,clift-hotel-san-francisco,2010-09-10T05:08:22,37.786841,-122.4112062,San Francisco,Travel:Hotel
ben-parr,letterman-digital-arts-center-san-francisco,2010-09-11T00:00:48,37.7983751,-122.4508066,San Francisco,Parks & Outdoors:Park
ben-parr,cigar-bar-grill-san-francisco,2010-09-11T06:02:47,37.7972,-122.403,San Francisco,Nightlife:Bar
ben-parr,us-post-office-pine-street-san-francisco,2010-09-11T18:47:46,37.790065,-122.41925,San Francisco,Home / Work / Other:Post Office
ben-parr,crunch-fitness-san-francisco,2010-09-11T23:32:11,37.798321,-122.421838,San Francisco,Home / Work / Other:Gym / Fitness:Yoga Studio
ben-parr,roam-artisan-burgers-san-francisco,2010-09-12T02:44:19,37.797736,-122.428448,San Francisco,Food:Burgers
ben-parr,h2o-lofts-san-francisco,2010-09-12T04:35:06,37.772927,-122.408898,San Francisco,Home / Work / Other:Home
ben-parr,ihop-san-francisco,2010-09-12T20:13:17,37.8075461705,-122.412586212,San Francisco,Food:Breakfast / Brunch
ben-parr,amc-loews-metreon-16-san-francisco,2010-09-13T05:46:07,37.7844947599,-122.403681278,San Francisco,Shops:Mall
ben-parr,mashable-sf-san-francisco,2010-09-14T01:35:34,37.7798819,-122.3914073,San Francisco,Home / Work / Other:Corporate / Office
ben-parr,andalu-san-francisco,2010-09-14T03:41:00,37.7649056,-122.4242963,San Francisco,Food:Tapas
ben-parr,el-rio-san-francisco,2010-09-14T05:39:36,37.7468,-122.419,San Francisco,Nightlife:Dive Bar
ben-parr,mashable-sf-san-francisco,2010-09-14T22:20:10,37.7798819,-122.3914073,San Francisco,Home / Work / Other:Corporate / Office
ben-parr,twitter-inc-san-francisco,2010-09-14T22:32:02,37.7821374984,-122.400580645,San Francisco,Home / Work / Other:Corporate / Office:Tech Startup
ben-parr,klout-hq-san-francisco,2010-09-15T00:57:25,37.782163,-122.400591,San Francisco,Home / Work / Other:Corporate / Office:Coworking Space
ben-parr,concourse-exhibition-center-san-francisco,2010-09-15T17:19:35,37.7719020415,-122.403788567,San Francisco,Home / Work / Other:Event Space
ben-parr,mashable-sf-san-francisco,2010-09-16T21:14:57,37.7798819,-122.3914073,San Francisco,Home / Work / Other:Corporate / Office
ben-parr,red-rock-coffee-mountain-view,2010-09-16T21:56:08,37.393588,-122.078752,Mountain View,Food:Coffee Shop
ben-parr,red-rock-coffee-mountain-view,2010-09-16T22:00:52,37.393588,-122.078752,Mountain View,Food:Coffee Shop
ben-parr,google-ventures-mountain-view,2010-09-17T03:04:33,37.420037,-122.079837,Mountain View,Home / Work / Other:Corporate / Office
ben-parr,ritual-coffee-roasters-san-francisco,2010-09-17T22:04:37,37.75647,-122.421199,San Francisco,Food:Coffee Shop
ben-parr,cafe-du-nord-san-francisco,2010-09-18T06:23:00,37.766684,-122.430514,San Francisco,Food:Snacks
ben-parr,crunch-fitness-san-francisco,2010-09-18T19:37:41,37.798321,-122.421838,San Francisco,Home / Work / Other:Gym / Fitness:Yoga Studio
ben-parr,roe-nightclub-and-lounge-san-francisco,2010-09-19T06:27:48,37.7857072788,-122.399400473,San Francisco,Nightlife:Lounge
ben-parr,sundance-kabuki-cinemas-san-francisco,2010-09-20T01:49:19,37.785131,-122.432756,San Francisco,Arts & Entertainment:Movie Theater:Cineplex
ben-parr,empress-of-china-san-francisco,2010-09-20T02:47:43,37.794825,-122.406084,San Francisco,Nightlife:Lounge
ben-parr,bix-san-francisco,2010-09-20T04:59:42,37.796859,-122.402905,San Francisco,Nightlife:Speakeasy / Secret Spot
